Date de saisie;Date opération;Description;Montant;Type;Catégorie;Date de rapprochement;Répétition mensuelle;Répétition annuelle;Depuis;Vers;ID
09/02/2023;09/02/2023;Bistrot Gourmand 🍕;34,70;Dépenses variables;Restauration & Sorties;09/02/2023;FAUX;FAUX;Compte Courant Principal;;35
25/02/2023;25/02/2023;Pizzeria Bella Vista 🍕;34,20;Dépenses variables;Restauration & Sorties;25/02/2023;FAUX;FAUX;Compte Courant Principal;;36
18/02/2023;18/02/2023;Pharmacie Centrale 💊;26,15;Dépenses variables;Santé & Mutuelle;18/02/2023;FAUX;FAUX;Compte Courant Principal;;37
22/02/2023;22/02/2023;Pathé Gaumont - Cinéma 🎬;119,58;Dépenses variables;Loisirs & Culture;22/02/2023;FAUX;FAUX;Compte Courant Principal;;38
14/02/2023;14/02/2023;Shopping Habillement 🛍️;43,02;Dépenses variables;Shopping & Habillement;14/02/2023;FAUX;FAUX;Compte Courant Principal;;39
26/03/2023;27/03/2023;Salaire Mensuel 💶;1756,54;Recettes;Salaire;27/03/2023;VRAI;FAUX;;Compte Courant Principal;40
28/02/2023;02/03/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/03/2023;VRAI;FAUX;Compte Courant Principal;Livret A;41
04/03/2023;05/03/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/03/2023;VRAI;FAUX;Compte Courant Principal;;42
08/03/2023;10/03/2023;Facture Électricité & Gaz ⚡;80,77;Dépenses fixes;Énergie & Eau;10/03/2023;VRAI;FAUX;Compte Courant Principal;;43
10/03/2023;12/03/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/03/2023;VRAI;FAUX;Compte Courant Principal;;44
16/03/2023;18/03/2023;Assurance Habitation & Auto 🛡️;69,51;Dépenses fixes;Assurance;18/03/2023;VRAI;FAUX;Compte Courant Principal;;45
19/03/2023;20/03/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/03/2023;VRAI;FAUX;Compte Courant Principal;;46
20/03/2023;22/03/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/03/2023;VRAI;FAUX;Compte Courant Principal;;47
02/03/2023;02/03/2023;Courses Lidl 🛒;95,45;Dépenses variables;Alimentation;02/03/2023;FAUX;FAUX;Compte Courant Principal;;48
12/03/2023;12/03/2023;Courses E.Leclerc 🛒;95,47;Dépenses variables;Alimentation;12/03/2023;FAUX;FAUX;Compte Courant Principal;;49
19/03/2023;19/03/2023;Courses Auchan 🛒;91,62;Dépenses variables;Alimentation;19/03/2023;FAUX;FAUX;Compte Courant Principal;;50
25/03/2023;25/03/2023;Courses Auchan 🛒;88,91;Dépenses variables;Alimentation;25/03/2023;FAUX;FAUX;Compte Courant Principal;;51
05/03/2023;05/03/2023;Station TotalEnergies - Carburant ⛽;61,89;Dépenses variables;Transport & Carburant;05/03/2023;FAUX;FAUX;Compte Courant Principal;;52
20/03/2023;20/03/2023;Station TotalEnergies - Carburant ⛽;60,02;Dépenses variables;Transport & Carburant;20/03/2023;FAUX;FAUX;Compte Courant Principal;;53
09/03/2023;09/03/2023;Pizzeria Bella Vista 🍕;37,96;Dépenses variables;Restauration & Sorties;09/03/2023;FAUX;FAUX;Compte Courant Principal;;54
24/03/2023;24/03/2023;Pizzeria Bella Vista 🍕;37,96;Dépenses variables;Restauration & Sorties;24/03/2023;FAUX;FAUX;Compte Courant Principal;;55
16/03/2023;16/03/2023;Pharmacie Centrale 💊;22,01;Dépenses variables;Santé & Mutuelle;16/03/2023;FAUX;FAUX;Compte Courant Principal;;56
26/03/2023;26/03/2023;Pathé Gaumont - Cinéma 🎬;132,22;Dépenses variables;Loisirs & Culture;26/03/2023;FAUX;FAUX;Compte Courant Principal;;57
12/03/2023;12/03/2023;Shopping Habillement 🛍️;48,63;Dépenses variables;Shopping & Habillement;12/03/2023;FAUX;FAUX;Compte Courant Principal;;58
14/03/2023;14/03/2023;Chèque N° 458921 - Cotisation Club 🎨;35,00;Dépenses variables;Loisirs & Culture;14/03/2023;FAUX;FAUX;Compte Courant Principal;;59
27/04/2023;28/04/2023;Salaire Mensuel 💶;1773,27;Recettes;Salaire;28/04/2023;VRAI;FAUX;;Compte Courant Principal;60
01/04/2023;02/04/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/04/2023;VRAI;FAUX;Compte Courant Principal;Livret A;61
03/04/2023;05/04/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/04/2023;VRAI;FAUX;Compte Courant Principal;;62
09/04/2023;10/04/2023;Facture Électricité & Gaz ⚡;78,36;Dépenses fixes;Énergie & Eau;10/04/2023;VRAI;FAUX;Compte Courant Principal;;63
10/04/2023;12/04/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/04/2023;VRAI;FAUX;Compte Courant Principal;;64
17/04/2023;18/04/2023;Assurance Habitation & Auto 🛡️;67,17;Dépenses fixes;Assurance;18/04/2023;VRAI;FAUX;Compte Courant Principal;;65
19/04/2023;20/04/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/04/2023;VRAI;FAUX;Compte Courant Principal;;66
20/04/2023;22/04/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/04/2023;VRAI;FAUX;Compte Courant Principal;;67
04/04/2023;04/04/2023;Courses Lidl 🛒;89,53;Dépenses variables;Alimentation;04/04/2023;FAUX;FAUX;Compte Courant Principal;;68
10/04/2023;10/04/2023;Courses Carrefour 🛒;93,99;Dépenses variables;Alimentation;10/04/2023;FAUX;FAUX;Compte Courant Principal;;69
19/04/2023;19/04/2023;Courses Carrefour 🛒;89,12;Dépenses variables;Alimentation;19/04/2023;FAUX;FAUX;Compte Courant Principal;;70
26/04/2023;26/04/2023;Courses E.Leclerc 🛒;90,39;Dépenses variables;Alimentation;26/04/2023;FAUX;FAUX;Compte Courant Principal;;71
06/04/2023;06/04/2023;Station TotalEnergies - Carburant ⛽;62,02;Dépenses variables;Transport & Carburant;06/04/2023;FAUX;FAUX;Compte Courant Principal;;72
19/04/2023;19/04/2023;Station TotalEnergies - Carburant ⛽;55,69;Dépenses variables;Transport & Carburant;19/04/2023;FAUX;FAUX;Compte Courant Principal;;73
09/04/2023;09/04/2023;Bistrot Gourmand 🍕;40,16;Dépenses variables;Restauration & Sorties;09/04/2023;FAUX;FAUX;Compte Courant Principal;;74
22/04/2023;22/04/2023;Pizzeria Bella Vista 🍕;33,28;Dépenses variables;Restauration & Sorties;22/04/2023;FAUX;FAUX;Compte Courant Principal;;75
16/04/2023;16/04/2023;Pharmacie Centrale 💊;21,32;Dépenses variables;Santé & Mutuelle;16/04/2023;FAUX;FAUX;Compte Courant Principal;;76
26/04/2023;26/04/2023;Fnac - Livres & Musique 📚;132,45;Dépenses variables;Loisirs & Culture;26/04/2023;FAUX;FAUX;Compte Courant Principal;;77
13/04/2023;13/04/2023;Shopping Habillement 🛍️;53,58;Dépenses variables;Shopping & Habillement;13/04/2023;FAUX;FAUX;Compte Courant Principal;;78
26/05/2023;27/05/2023;Salaire Mensuel 💶;1771,60;Recettes;Salaire;27/05/2023;VRAI;FAUX;;Compte Courant Principal;79
30/04/2023;02/05/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/05/2023;VRAI;FAUX;Compte Courant Principal;Livret A;80
03/05/2023;05/05/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/05/2023;VRAI;FAUX;Compte Courant Principal;;81
08/05/2023;10/05/2023;Facture Électricité & Gaz ⚡;78,60;Dépenses fixes;Énergie & Eau;10/05/2023;VRAI;FAUX;Compte Courant Principal;;82
11/05/2023;12/05/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/05/2023;VRAI;FAUX;Compte Courant Principal;;83
17/05/2023;18/05/2023;Assurance Habitation & Auto 🛡️;68,69;Dépenses fixes;Assurance;18/05/2023;VRAI;FAUX;Compte Courant Principal;;84
19/05/2023;20/05/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/05/2023;VRAI;FAUX;Compte Courant Principal;;85
21/05/2023;22/05/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/05/2023;VRAI;FAUX;Compte Courant Principal;;86
03/05/2023;03/05/2023;Courses Carrefour 🛒;93,88;Dépenses variables;Alimentation;03/05/2023;FAUX;FAUX;Compte Courant Principal;;87
10/05/2023;10/05/2023;Courses Lidl 🛒;88,07;Dépenses variables;Alimentation;10/05/2023;FAUX;FAUX;Compte Courant Principal;;88
20/05/2023;20/05/2023;Courses Carrefour 🛒;90,29;Dépenses variables;Alimentation;20/05/2023;FAUX;FAUX;Compte Courant Principal;;89
25/05/2023;25/05/2023;Courses E.Leclerc 🛒;88,71;Dépenses variables;Alimentation;25/05/2023;FAUX;FAUX;Compte Courant Principal;;90
06/05/2023;06/05/2023;Station TotalEnergies - Carburant ⛽;57,23;Dépenses variables;Transport & Carburant;06/05/2023;FAUX;FAUX;Compte Courant Principal;;91
22/05/2023;22/05/2023;Station TotalEnergies - Carburant ⛽;56,71;Dépenses variables;Transport & Carburant;22/05/2023;FAUX;FAUX;Compte Courant Principal;;92
07/05/2023;07/05/2023;Bistrot Gourmand 🍕;39,23;Dépenses variables;Restauration & Sorties;07/05/2023;FAUX;FAUX;Compte Courant Principal;;93
25/05/2023;25/05/2023;Pizzeria Bella Vista 🍕;36,73;Dépenses variables;Restauration & Sorties;25/05/2023;FAUX;FAUX;Compte Courant Principal;;94
18/05/2023;18/05/2023;Pharmacie Centrale 💊;23,26;Dépenses variables;Santé & Mutuelle;18/05/2023;FAUX;FAUX;Compte Courant Principal;;95
22/05/2023;22/05/2023;Fnac - Livres & Musique 📚;116,94;Dépenses variables;Loisirs & Culture;22/05/2023;FAUX;FAUX;Compte Courant Principal;;96
14/05/2023;14/05/2023;Shopping Habillement 🛍️;43,47;Dépenses variables;Shopping & Habillement;14/05/2023;FAUX;FAUX;Compte Courant Principal;;97
27/06/2023;28/06/2023;Salaire Mensuel 💶;1776,13;Recettes;Salaire;28/06/2023;VRAI;FAUX;;Compte Courant Principal;98
01/06/2023;02/06/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/06/2023;VRAI;FAUX;Compte Courant Principal;Livret A;99
04/06/2023;05/06/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/06/2023;VRAI;FAUX;Compte Courant Principal;;100
08/06/2023;10/06/2023;Facture Électricité & Gaz ⚡;77,22;Dépenses fixes;Énergie & Eau;10/06/2023;VRAI;FAUX;Compte Courant Principal;;101
10/06/2023;12/06/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/06/2023;VRAI;FAUX;Compte Courant Principal;;102
17/06/2023;18/06/2023;Assurance Habitation & Auto 🛡️;68,61;Dépenses fixes;Assurance;18/06/2023;VRAI;FAUX;Compte Courant Principal;;103
19/06/2023;20/06/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/06/2023;VRAI;FAUX;Compte Courant Principal;;104
21/06/2023;22/06/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/06/2023;VRAI;FAUX;Compte Courant Principal;;105
02/06/2023;02/06/2023;Courses Auchan 🛒;89,40;Dépenses variables;Alimentation;02/06/2023;FAUX;FAUX;Compte Courant Principal;;106
10/06/2023;10/06/2023;Courses E.Leclerc 🛒;92,63;Dépenses variables;Alimentation;10/06/2023;FAUX;FAUX;Compte Courant Principal;;107
18/06/2023;18/06/2023;Courses Auchan 🛒;96,08;Dépenses variables;Alimentation;18/06/2023;FAUX;FAUX;Compte Courant Principal;;108
27/06/2023;27/06/2023;Courses Carrefour 🛒;88,51;Dépenses variables;Alimentation;27/06/2023;FAUX;FAUX;Compte Courant Principal;;109
09/06/2023;09/06/2023;Station TotalEnergies - Carburant ⛽;61,69;Dépenses variables;Transport & Carburant;09/06/2023;FAUX;FAUX;Compte Courant Principal;;110
19/06/2023;19/06/2023;Station TotalEnergies - Carburant ⛽;62,41;Dépenses variables;Transport & Carburant;19/06/2023;FAUX;FAUX;Compte Courant Principal;;111
07/06/2023;07/06/2023;Pizzeria Bella Vista 🍕;33,66;Dépenses variables;Restauration & Sorties;07/06/2023;FAUX;FAUX;Compte Courant Principal;;112
24/06/2023;24/06/2023;Pizzeria Bella Vista 🍕;34,14;Dépenses variables;Restauration & Sorties;24/06/2023;FAUX;FAUX;Compte Courant Principal;;113
12/06/2023;12/06/2023;Pharmacie Centrale 💊;21,32;Dépenses variables;Santé & Mutuelle;12/06/2023;FAUX;FAUX;Compte Courant Principal;;114
22/06/2023;22/06/2023;Fnac - Livres & Musique 📚;134,71;Dépenses variables;Loisirs & Culture;22/06/2023;FAUX;FAUX;Compte Courant Principal;;115
15/06/2023;15/06/2023;Shopping Habillement 🛍️;40,70;Dépenses variables;Shopping & Habillement;15/06/2023;FAUX;FAUX;Compte Courant Principal;;116
27/07/2023;28/07/2023;Salaire Mensuel 💶;1754,85;Recettes;Salaire;28/07/2023;VRAI;FAUX;;Compte Courant Principal;117
01/07/2023;02/07/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/07/2023;VRAI;FAUX;Compte Courant Principal;Livret A;118
03/07/2023;05/07/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/07/2023;VRAI;FAUX;Compte Courant Principal;;119
09/07/2023;10/07/2023;Facture Électricité & Gaz ⚡;78,19;Dépenses fixes;Énergie & Eau;10/07/2023;VRAI;FAUX;Compte Courant Principal;;120
11/07/2023;12/07/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/07/2023;VRAI;FAUX;Compte Courant Principal;;121
16/07/2023;18/07/2023;Assurance Habitation & Auto 🛡️;69,87;Dépenses fixes;Assurance;18/07/2023;VRAI;FAUX;Compte Courant Principal;;122
19/07/2023;20/07/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/07/2023;VRAI;FAUX;Compte Courant Principal;;123
21/07/2023;22/07/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/07/2023;VRAI;FAUX;Compte Courant Principal;;124
04/07/2023;04/07/2023;Courses Carrefour 🛒;96,51;Dépenses variables;Alimentation;04/07/2023;FAUX;FAUX;Compte Courant Principal;;125
10/07/2023;10/07/2023;Courses Carrefour 🛒;94,75;Dépenses variables;Alimentation;10/07/2023;FAUX;FAUX;Compte Courant Principal;;126
18/07/2023;18/07/2023;Courses Auchan 🛒;89,20;Dépenses variables;Alimentation;18/07/2023;FAUX;FAUX;Compte Courant Principal;;127
27/07/2023;27/07/2023;Courses Lidl 🛒;93,79;Dépenses variables;Alimentation;27/07/2023;FAUX;FAUX;Compte Courant Principal;;128
05/07/2023;05/07/2023;Station TotalEnergies - Carburant ⛽;59,96;Dépenses variables;Transport & Carburant;05/07/2023;FAUX;FAUX;Compte Courant Principal;;129
22/07/2023;22/07/2023;Station TotalEnergies - Carburant ⛽;60,26;Dépenses variables;Transport & Carburant;22/07/2023;FAUX;FAUX;Compte Courant Principal;;130
10/07/2023;10/07/2023;Pizzeria Bella Vista 🍕;37,23;Dépenses variables;Restauration & Sorties;10/07/2023;FAUX;FAUX;Compte Courant Principal;;131
22/07/2023;22/07/2023;Pizzeria Bella Vista 🍕;38,70;Dépenses variables;Restauration & Sorties;22/07/2023;FAUX;FAUX;Compte Courant Principal;;132
13/07/2023;13/07/2023;Pharmacie Centrale 💊;22,12;Dépenses variables;Santé & Mutuelle;13/07/2023;FAUX;FAUX;Compte Courant Principal;;133
23/07/2023;23/07/2023;Fnac - Livres & Musique 📚;128,43;Dépenses variables;Loisirs & Culture;23/07/2023;FAUX;FAUX;Compte Courant Principal;;134
15/07/2023;15/07/2023;Shopping Habillement 🛍️;41,32;Dépenses variables;Shopping & Habillement;15/07/2023;FAUX;FAUX;Compte Courant Principal;;135
16/07/2023;16/07/2023;Camping Les Pins - Vacances 🏖️;90,00;Dépenses variables;Loisirs & Culture;16/07/2023;FAUX;FAUX;Compte Courant Principal;;136
26/08/2023;27/08/2023;Salaire Mensuel 💶;1750,49;Recettes;Salaire;27/08/2023;VRAI;FAUX;;Compte Courant Principal;137
01/08/2023;02/08/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/08/2023;VRAI;FAUX;Compte Courant Principal;Livret A;138
04/08/2023;05/08/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/08/2023;VRAI;FAUX;Compte Courant Principal;;139
09/08/2023;10/08/2023;Facture Électricité & Gaz ⚡;79,48;Dépenses fixes;Énergie & Eau;10/08/2023;VRAI;FAUX;Compte Courant Principal;;140
10/08/2023;12/08/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/08/2023;VRAI;FAUX;Compte Courant Principal;;141
17/08/2023;18/08/2023;Assurance Habitation & Auto 🛡️;68,25;Dépenses fixes;Assurance;18/08/2023;VRAI;FAUX;Compte Courant Principal;;142
18/08/2023;20/08/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/08/2023;VRAI;FAUX;Compte Courant Principal;;143
21/08/2023;22/08/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/08/2023;VRAI;FAUX;Compte Courant Principal;;144
02/08/2023;02/08/2023;Courses E.Leclerc 🛒;90,85;Dépenses variables;Alimentation;02/08/2023;FAUX;FAUX;Compte Courant Principal;;145
11/08/2023;11/08/2023;Courses E.Leclerc 🛒;94,12;Dépenses variables;Alimentation;11/08/2023;FAUX;FAUX;Compte Courant Principal;;146
20/08/2023;20/08/2023;Courses Carrefour 🛒;94,68;Dépenses variables;Alimentation;20/08/2023;FAUX;FAUX;Compte Courant Principal;;147
27/08/2023;27/08/2023;Courses E.Leclerc 🛒;97,32;Dépenses variables;Alimentation;27/08/2023;FAUX;FAUX;Compte Courant Principal;;148
05/08/2023;05/08/2023;Station TotalEnergies - Carburant ⛽;62,51;Dépenses variables;Transport & Carburant;05/08/2023;FAUX;FAUX;Compte Courant Principal;;149
20/08/2023;20/08/2023;Station TotalEnergies - Carburant ⛽;57,12;Dépenses variables;Transport & Carburant;20/08/2023;FAUX;FAUX;Compte Courant Principal;;150
06/08/2023;06/08/2023;Brasserie du Centre 🍕;39,42;Dépenses variables;Restauration & Sorties;06/08/2023;FAUX;FAUX;Compte Courant Principal;;151
23/08/2023;23/08/2023;Brasserie du Centre 🍕;34,82;Dépenses variables;Restauration & Sorties;23/08/2023;FAUX;FAUX;Compte Courant Principal;;152
17/08/2023;17/08/2023;Pharmacie Centrale 💊;22,74;Dépenses variables;Santé & Mutuelle;17/08/2023;FAUX;FAUX;Compte Courant Principal;;153
24/08/2023;24/08/2023;Fnac - Livres & Musique 📚;125,11;Dépenses variables;Loisirs & Culture;24/08/2023;FAUX;FAUX;Compte Courant Principal;;154
12/08/2023;12/08/2023;Shopping Habillement 🛍️;36,85;Dépenses variables;Shopping & Habillement;12/08/2023;FAUX;FAUX;Compte Courant Principal;;155
16/08/2023;16/08/2023;Péages & Autoroute 🛣️;35,00;Dépenses variables;Transport & Carburant;16/08/2023;FAUX;FAUX;Compte Courant Principal;;156
27/09/2023;28/09/2023;Salaire Mensuel 💶;1775,09;Recettes;Salaire;28/09/2023;VRAI;FAUX;;Compte Courant Principal;157
01/09/2023;02/09/2023;Virement Épargne Mensuelle 🐷;120,00;Virement;Épargne;02/09/2023;VRAI;FAUX;Compte Courant Principal;Livret A;158
03/09/2023;05/09/2023;Loyer & Charges 🏠;620,00;Dépenses fixes;Logement;05/09/2023;VRAI;FAUX;Compte Courant Principal;;159
09/09/2023;10/09/2023;Facture Électricité & Gaz ⚡;77,18;Dépenses fixes;Énergie & Eau;10/09/2023;VRAI;FAUX;Compte Courant Principal;;160
10/09/2023;12/09/2023;Abonnement Fibre & Mobile 📱;48,00;Dépenses fixes;Téléphonie & Internet;12/09/2023;VRAI;FAUX;Compte Courant Principal;;161
16/09/2023;18/09/2023;Assurance Habitation & Auto 🛡️;67,33;Dépenses fixes;Assurance;18/09/2023;VRAI;FAUX;Compte Courant Principal;;162
19/09/2023;20/09/2023;Abonnement Streaming 🎬;22,00;Dépenses fixes;Abonnements & Médias;20/09/2023;VRAI;FAUX;Compte Courant Principal;;163
21/09/2023;22/09/2023;Cotisation Mutuelle 💊;32,00;Dépenses fixes;Santé & Mutuelle;22/09/2023;VRAI;FAUX;Compte Courant Principal;;164
02/09/2023;02/09/2023;Courses Lidl 🛒;93,46;Dépenses variables;Alimentation;02/09/2023;FAUX;FAUX;Compte Courant Principal;;165
11/09/2023;11/09/2023;Courses Lidl 🛒;92,30;Dépenses variables;Alimentation;11/09/2023;FAUX;FAUX;Compte Courant Principal;;166
18/09/2023;18/09/2023;Courses E.Leclerc 🛒;91,65;Dépenses variables;Alimentation;18/09/2023;FAUX;FAUX;Compte Courant Principal;;167
25/09/2023;25/09/2023;Courses E.Leclerc 🛒;90,10;Dépenses variables;Alimentation;25/09/2023;FAUX;FAUX;Compte Courant Principal;;168
06/09/2023;06/09/2023;Station TotalEnergies - Carburant ⛽;60,34;Dépenses variables;Transport & Carburant;06/09/2023;FAUX;FAUX;Compte Courant Principal;;169
21/09/2023;21/09/2023;Station TotalEnergies - Carburant ⛽;61,24;Dépenses variables;Transport & Carburant;21/09/2023;FAUX;FAUX;Compte Courant Principal;;170
09/09/2023;09/09/2023;Bistrot Gourmand 🍕;41,74;Dépenses variables;Restauration & Sorties;09/09/2023;FAUX;FAUX;Compte Courant Principal;;171
22/09/2023;22/09/2023;Brasserie du Centre 🍕;41,26;Dépenses variables;Restauration & Sorties;22/09/2023;FAUX;FAUX;Compte Courant Principal;;172
18/09/2023;18/09/2023;Pharmacie Centrale 💊;21,30;Dépenses variables;Santé & Mutuelle;18/09/2023;FAUX;FAUX;Compte Courant Principal;;173
